yöntem,girdi,balanced_acc,worn_recall,unworn_recall,worn_precision,missed_worn,false_alarms,sinav,git_hash
0 · naif (koşu no + eşik),1,0.7757142857142858,0.8714285714285714,0.68,0.7176470588235294,9.0,24.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,sensör,0.8028571428571428,0.8857142857142857,0.72,0.7469879518072289,8.0,21.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,sensör,0.8138095238095238,0.8142857142857143,0.8133333333333334,0.8028169014084507,13.0,14.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,parametre + süre,0.8847619047619047,0.9428571428571428,0.8266666666666667,0.8354430379746836,4.0,13.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,parametre + süre,0.8347619047619048,0.8428571428571429,0.8266666666666667,0.8194444444444444,11.0,13.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,hepsi,0.8300000000000001,0.9,0.76,0.7777777777777778,7.0,18.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,hepsi,0.8142857142857143,0.8285714285714286,0.8,0.7945205479452054,12.0,15.0,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
0 · naif (koşu no + eşik),1,0.7490476190476191,0.8714285714285714,0.6266666666666667,0.6853932584269663,9.0,28.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,sensör,0.780952380952381,0.8285714285714286,0.7333333333333333,0.7435897435897436,12.0,20.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,sensör,0.7857142857142858,0.7714285714285715,0.8,0.782608695652174,16.0,15.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,parametre + süre,0.8442857142857143,0.9285714285714286,0.76,0.7831325301204819,5.0,18.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,parametre + süre,0.7795238095238095,0.7857142857142857,0.7733333333333333,0.7638888888888888,15.0,17.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,hepsi,0.7552380952380953,0.8571428571428571,0.6533333333333333,0.6976744186046512,10.0,26.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,hepsi,0.7733333333333334,0.8,0.7466666666666667,0.7466666666666667,14.0,19.0,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
0 · naif (koşu no + eşik),1,0.6928571428571428,0.7857142857142857,0.6,0.6470588235294118,15.0,30.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,sensör,0.5742857142857143,0.6285714285714286,0.52,0.55,26.0,36.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,sensör,0.6638095238095238,0.5142857142857142,0.8133333333333334,0.72,34.0,14.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,parametre + süre,0.5757142857142856,0.6714285714285714,0.48,0.5465116279069767,23.0,39.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,parametre + süre,0.5614285714285714,0.6428571428571429,0.48,0.5357142857142857,25.0,39.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
A · regresyon + eşik,hepsi,0.5828571428571429,0.6857142857142857,0.48,0.5517241379310345,22.0,39.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
B · doğrudan sınıflandırıcı,hepsi,0.6919047619047619,0.5571428571428572,0.8266666666666667,0.75,31.0,13.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
