oznitelik,c1,c4,c6,ort_mutlak,ayni_yon,git_hash
vib_z_skew,-0.02,-0.431,-0.452,0.301,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_5,-0.041,-0.342,-0.45,0.278,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_5_ratio,-0.207,-0.207,-0.405,0.273,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_3_ratio,0.357,0.09,0.37,0.272,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_7_ratio,0.061,0.38,0.294,0.245,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_8,-0.193,-0.435,-0.102,0.243,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_3_ratio,0.062,0.346,-0.281,0.23,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_1,-0.244,0.169,-0.26,0.224,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_4,-0.295,-0.294,-0.073,0.221,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_5,-0.004,-0.253,-0.403,0.22,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_skew,0.266,0.212,0.176,0.218,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_6_ratio,0.02,0.405,-0.2,0.208,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_kurtosis,0.129,0.013,-0.472,0.204,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_y_skew,0.149,-0.098,0.353,0.2,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
ae_rms_order_4_ratio,0.02,0.325,0.254,0.2,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_kurtosis,-0.209,-0.169,-0.214,0.197,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_std,-0.061,-0.095,0.428,0.195,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_6,0.268,-0.039,0.274,0.194,False,1fca200dc9094b5098ce1f3dbda2ad794d5da491
