oznitelik,c1,c4,c6,ort_mutlak,ayni_yon,git_hash
force_x_std,0.996,0.988,0.996,0.994,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_total,0.996,0.988,0.996,0.994,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_order_3,0.996,0.991,0.995,0.994,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_p2p,0.994,0.99,0.995,0.993,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_abs_mean,0.995,0.986,0.995,0.992,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_3,0.995,0.986,0.995,0.992,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_std,0.995,0.986,0.995,0.992,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_p2p,0.992,0.987,0.998,0.992,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_total,0.995,0.986,0.995,0.992,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_rms,0.994,0.985,0.993,0.991,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_peak,0.992,0.988,0.992,0.991,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_6,0.985,0.991,0.997,0.991,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_peak,0.964,0.99,0.997,0.984,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_rms,0.958,0.995,0.998,0.983,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_abs_mean,0.954,0.995,0.998,0.982,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_z_order_6,0.96,0.987,0.997,0.981,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_abs_mean,0.98,0.975,0.975,0.976,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_x_order_3,0.959,0.983,0.981,0.974,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_rms,0.976,0.975,0.971,0.974,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_p2p,0.958,0.976,0.972,0.968,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_std,0.948,0.942,0.977,0.956,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_order_total,0.943,0.94,0.972,0.952,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_rms,0.947,0.937,0.968,0.951,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_y_peak,0.967,0.949,0.923,0.947,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_abs_mean,0.945,0.934,0.959,0.946,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
force_x_order_8_ratio,-0.96,-0.916,-0.961,0.946,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
vib_z_p2p,0.94,0.931,0.964,0.945,True,1fca200dc9094b5098ce1f3dbda2ad794d5da491
