oznitelik,onem,kanal
vib_y_order_8_ratio,127,vib_y
vib_x_order_8_ratio,86,vib_x
force_y_rms,85,force_y
ae_rms_order_6,80,ae_rms
vib_x_order_3_ratio,79,vib_x
ae_rms_order_1_ratio,76,ae_rms
force_x_order_4_ratio,74,force_x
vib_z_order_8_ratio,69,vib_z
ae_rms_order_5,68,ae_rms
vib_z_order_3,67,vib_z
force_z_order_6,67,force_z
force_x_p2p,66,force_x
ae_rms_order_2,64,ae_rms
vib_z_order_6_ratio,64,vib_z
ae_rms_order_1,64,ae_rms
vib_y_order_4,61,vib_y
force_y_skew,57,force_y
ae_rms_order_3,57,ae_rms
vib_y_order_3,56,vib_y
force_z_skew,55,force_z
vib_y_order_1_ratio,54,vib_y
force_z_order_1,54,force_z
force_x_order_3_ratio,53,force_x
vib_x_order_1,51,vib_x
force_z_peak,51,force_z
force_y_order_2_ratio,50,force_y
vib_x_order_6_ratio,49,vib_x
ae_rms_p2p,48,ae_rms
ae_rms_order_2_ratio,48,ae_rms
vib_x_order_2_ratio,48,vib_x
vib_z_order_5,47,vib_z
force_x_order_4,47,force_x
force_z_order_7,46,force_z
force_y_p2p,46,force_y
vib_x_order_8,46,vib_x
vib_x_order_5,46,vib_x
vib_x_abs_mean,46,vib_x
vib_z_order_2,45,vib_z
force_z_order_5_ratio,44,force_z
force_z_kurtosis,44,force_z
vib_z_order_5_ratio,43,vib_z
force_y_abs_mean,43,force_y
vib_z_kurtosis,42,vib_z
ae_rms_order_8,42,ae_rms
vib_y_order_6_ratio,42,vib_y
vib_y_order_4_ratio,42,vib_y
vib_y_order_3_ratio,42,vib_y
force_z_order_3_ratio,41,force_z
vib_x_order_2,41,vib_x
force_z_order_6_ratio,41,force_z
force_x_order_8_ratio,40,force_x
ae_rms_order_3_ratio,40,ae_rms
force_z_order_2,39,force_z
force_z_order_7_ratio,39,force_z
force_x_order_1_ratio,39,force_x
force_x_order_8,38,force_x
ae_rms_order_6_ratio,37,ae_rms
vib_x_order_4,37,vib_x
vib_x_order_3,37,vib_x
force_y_order_6_ratio,37,force_y
vib_y_peak,37,vib_y
vib_z_skew,37,vib_z
ae_rms_order_4,37,ae_rms
force_y_order_4,36,force_y
force_x_order_6,36,force_x
ae_rms_rms,36,ae_rms
ae_rms_order_4_ratio,35,ae_rms
force_x_std,35,force_x
vib_z_p2p,35,vib_z
force_y_order_7,35,force_y
vib_y_order_8,34,vib_y
ae_rms_kurtosis,34,ae_rms
ae_rms_order_total,34,ae_rms
vib_z_order_3_ratio,34,vib_z
force_x_order_5_ratio,33,force_x
ae_rms_std,33,ae_rms
vib_z_order_8,33,vib_z
ae_rms_order_7_ratio,33,ae_rms
vib_y_order_1,32,vib_y
vib_x_order_1_ratio,32,vib_x
force_y_peak,32,force_y
vib_y_skew,32,vib_y
vib_x_order_4_ratio,31,vib_x
ae_rms_abs_mean,31,ae_rms
force_y_order_4_ratio,31,force_y
vib_z_order_7,31,vib_z
force_x_order_1,30,force_x
force_z_order_4_ratio,30,force_z
vib_y_kurtosis,30,vib_y
force_y_kurtosis,30,force_y
ae_rms_order_5_ratio,29,ae_rms
vib_z_order_6,29,vib_z
force_x_kurtosis,29,force_x
vib_z_rms,29,vib_z
force_x_order_6_ratio,29,force_x
vib_x_skew,28,vib_x
vib_y_order_2,28,vib_y
vib_z_std,28,vib_z
force_x_order_7_ratio,27,force_x
vib_y_order_5_ratio,27,vib_y
vib_x_order_5_ratio,27,vib_x
force_y_order_3_ratio,26,force_y
vib_y_order_2_ratio,26,vib_y
force_z_order_2_ratio,26,force_z
vib_z_order_4,26,vib_z
force_x_order_5,26,force_x
vib_z_peak,25,vib_z
force_x_order_2_ratio,25,force_x
ae_rms_skew,25,ae_rms
force_y_order_1,24,force_y
ae_rms_order_8_ratio,23,ae_rms
force_y_order_8,23,force_y
force_x_order_total,23,force_x
force_y_order_1_ratio,23,force_y
force_z_order_4,22,force_z
vib_x_order_7,22,vib_x
vib_z_order_4_ratio,22,vib_z
force_y_order_6,22,force_y
force_y_order_5_ratio,21,force_y
vib_y_order_5,21,vib_y
force_x_skew,21,force_x
force_z_p2p,21,force_z
force_x_order_7,20,force_x
force_x_order_2,20,force_x
vib_z_order_2_ratio,20,vib_z
force_z_order_8,20,force_z
ae_rms_peak,20,ae_rms
vib_x_order_total,20,vib_x
force_x_rms,20,force_x
vib_z_order_1,19,vib_z
vib_x_rms,19,vib_x
vib_z_order_1_ratio,19,vib_z
force_y_order_2,18,force_y
vib_x_kurtosis,18,vib_x
vib_x_order_6,18,vib_x
vib_y_order_7_ratio,18,vib_y
force_z_order_5,17,force_z
vib_z_order_total,17,vib_z
force_z_order_1_ratio,17,force_z
force_y_order_total,16,force_y
force_y_std,16,force_y
force_z_order_8_ratio,15,force_z
force_y_order_8_ratio,15,force_y
vib_y_order_6,14,vib_y
ae_rms_order_7,13,ae_rms
vib_z_order_7_ratio,13,vib_z
force_y_order_7_ratio,13,force_y
force_z_std,12,force_z
force_x_abs_mean,12,force_x
vib_y_p2p,12,vib_y
force_y_order_3,12,force_y
