oznitelik,onem
cum_time,72
AE_table_order_7_ratio,54
AE_table_order_3_ratio,41
vib_table_order_5_ratio,36
vib_spindle_order_4,35
smcDC_order_6_ratio,32
smcDC_kurtosis,32
vib_table_order_2_ratio,30
smcDC_order_1_ratio,30
smcDC_skew,30
AE_spindle_order_2_ratio,30
smcDC_order_8_ratio,30
vib_table_order_2,29
smcAC_skew,29
AE_table_order_6,28
vib_table_order_7_ratio,28
vib_table_order_6,27
AE_spindle_order_4,27
smcAC_order_7,24
AE_table_order_4_ratio,24
vib_table_order_6_ratio,24
AE_spindle_order_2,23
AE_spindle_order_3_ratio,23
vib_spindle_skew,21
vib_spindle_order_8_ratio,20
AE_table_order_4,20
smcDC_order_2_ratio,19
vib_spindle_order_7_ratio,18
AE_spindle_order_6_ratio,18
AE_spindle_order_4_ratio,17
AE_spindle_order_7_ratio,17
AE_spindle_kurtosis,17
vib_spindle_rms,17
AE_table_order_8,17
vib_table_order_5,16
vib_table_order_7,16
vib_spindle_kurtosis,16
smcAC_order_3_ratio,15
smcDC_order_7_ratio,15
AE_spindle_skew,15
AE_table_std,14
vib_spindle_order_6,14
vib_spindle_abs_mean,14
AE_table_rms,14
smcAC_order_4,13
vib_table_order_4,13
vib_table_order_1,13
vib_table_std,12
vib_table_peak,12
AE_table_skew,12
smcDC_order_4_ratio,12
smcAC_order_2,12
vib_spindle_order_3_ratio,12
vib_spindle_peak,11
AE_spindle_order_8_ratio,11
vib_spindle_order_6_ratio,11
AE_table_order_1_ratio,11
vib_table_order_8,11
AE_table_peak,11
vib_spindle_order_1,11
AE_table_order_total,10
vib_spindle_order_2_ratio,10
smcAC_order_4_ratio,10
smcAC_order_5,10
AE_table_order_8_ratio,10
vib_spindle_order_5,10
vib_table_rms,10
vib_table_order_4_ratio,9
smcAC_order_1_ratio,9
smcDC_order_3,9
smcAC_order_6,9
AE_table_order_6_ratio,9
AE_table_order_5_ratio,9
AE_table_order_2_ratio,9
smcAC_order_6_ratio,9
smcAC_order_8_ratio,9
AE_spindle_rms,9
AE_table_order_2,8
smcDC_order_1,8
AE_table_order_5,8
AE_spindle_std,8
AE_spindle_abs_mean,8
smcAC_peak,8
vib_table_skew,8
AE_spindle_order_3,8
AE_spindle_order_6,8
vib_table_order_3_ratio,7
smcDC_order_5_ratio,7
smcAC_order_8,7
vib_spindle_p2p,7
smcDC_order_7,7
AE_spindle_p2p,7
AE_table_p2p,7
AE_spindle_order_7,7
vib_table_kurtosis,7
vib_table_p2p,7
vib_table_abs_mean,7
smcAC_kurtosis,7
AE_spindle_peak,7
vib_spindle_order_total,7
AE_table_order_3,7
AE_table_order_1,7
smcDC_order_5,6
AE_spindle_order_8,6
smcDC_order_3_ratio,6
AE_table_kurtosis,6
smcDC_order_6,6
vib_table_order_total,6
vib_table_order_3,6
smcDC_order_2,6
AE_spindle_order_5_ratio,6
smcAC_rms,5
AE_spindle_order_5,5
material,5
smcDC_std,5
smcAC_p2p,5
smcDC_rms,5
smcDC_order_8,5
smcAC_order_2_ratio,5
vib_spindle_order_3,5
vib_spindle_order_5_ratio,5
vib_spindle_order_2,5
vib_table_order_8_ratio,4
AE_spindle_order_total,4
AE_table_order_7,4
AE_spindle_order_1_ratio,4
AE_spindle_order_1,4
AE_table_abs_mean,4
vib_table_order_1_ratio,4
vib_spindle_order_4_ratio,4
vib_spindle_order_7,4
vib_spindle_order_1_ratio,4
smcAC_std,3
vib_spindle_order_8,3
smcDC_order_4,3
smcAC_order_7_ratio,3
smcDC_p2p,3
smcAC_order_1,3
vib_spindle_std,2
smcAC_abs_mean,2
smcDC_order_total,2
smcAC_order_5_ratio,2
smcAC_order_total,2
smcAC_order_3,1
smcDC_peak,1
doc,1
smcDC_abs_mean,0
feed,0
rpm,0
