model,mae_um,rmse_um,abs_overshoot_um,worst_overshoot_um,abs_delay_cuts,sinav,git_hash
0 · naif taban,145.9909931031375,183.51038771124252,157.33333333333334,440.0,2.2,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
1 · sadece sensör,140.18734192332596,179.99855325718804,108.66666666666667,260.0,2.066666666666667,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
2 · parametre + süre,108.38213538234335,137.4828662417869,78.66666666666667,320.0,1.1333333333333333,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
3 · sensör + parametre,139.4235910431734,177.9836251347587,105.33333333333333,260.0,1.8666666666666667,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
4 · sensör + parametre + süre,138.46663043591656,177.4880353702761,98.0,190.0,1.6666666666666667,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
5 · sadece parametre (süresiz),206.196077274937,247.26445539383803,352.0,1230.0,5.2,vaka-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
0 · naif taban,164.58901799772732,214.9155546700491,185.0,440.0,4.375,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
1 · sadece sensör,166.57465045851944,215.92915138542335,152.5,380.0,4.125,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
2 · parametre + süre,114.18867151231726,148.0718021073477,75.0,140.0,2.875,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
3 · sensör + parametre,163.99318760029743,214.36820452495266,146.25,380.0,3.875,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
4 · sensör + parametre + süre,164.26802374477026,211.3468386135809,190.0,380.0,4.5,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
5 · sadece parametre (süresiz),202.86092145205694,249.74491227013374,263.75,400.0,9.5,koşul-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
0 · naif taban,308.957106246754,421.56697176101454,145.0,160.0,15.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
1 · sadece sensör,216.85166330684785,304.73005607048555,225.0,-150.0,11.5,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
2 · parametre + süre,388.16137386309964,467.24944054204036,285.0,400.0,20.5,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
3 · sensör + parametre,226.65871129585975,314.5829449047429,220.0,140.0,15.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
4 · sensör + parametre + süre,271.48998487320875,349.7366031538113,220.0,140.0,15.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
5 · sadece parametre (süresiz),238.87399752196242,313.89130805215814,300.0,-300.0,15.0,malzeme-dışı,afd98c0867c02e9590c5a28c05d941a0f7be32de
