model,mae_um,rmse_um,abs_overshoot_um,worst_overshoot_um,abs_delay_cuts,sinav
PHM yok (= B-1),137.73452502490156,175.80844913079562,142.0,320.0,2.2,vaka-dışı
PHM w=0.05,142.0711408259889,177.6442297806745,159.33333333333334,320.0,2.2666666666666666,vaka-dışı
PHM w=0.15 (eşit toplam),139.8629587071218,173.22810076037155,160.0,320.0,2.4,vaka-dışı
PHM w=1.0 (ağırlıksız),130.36470165905067,163.17457412956435,144.0,320.0,2.1333333333333333,vaka-dışı
PHM yok (= B-1),140.10691074314468,182.75926667224982,150.0,320.0,4.25,koşul-dışı
PHM w=0.05,156.8945172353974,199.73923820681256,158.75,320.0,3.375,koşul-dışı
PHM w=0.15 (eşit toplam),152.62220396118664,194.66725224900307,121.25,320.0,3.125,koşul-dışı
PHM w=1.0 (ağırlıksız),139.69552215521017,183.3544209772526,131.25,320.0,4.125,koşul-dışı
PHM yok (= B-1),282.5111703991396,355.5274271267342,140.0,-60.0,16.0,malzeme-dışı
PHM w=0.05,242.10613405050088,320.6840733201072,685.0,1230.0,20.0,malzeme-dışı
PHM w=0.15 (eşit toplam),273.6360446387165,352.2905577889506,685.0,1230.0,20.0,malzeme-dışı
PHM w=1.0 (ağırlıksız),300.54693579242075,378.2708468986435,685.0,1230.0,20.0,malzeme-dışı
